bush	kerry	party	previous_vote_share	previous_opposition_vote_share	runningforreelection	unopposed	healthsolutionsnewmexicoact	richardsongovdem	dendahlgovrep	treatment	n	q1favor	q1favorse	q1oppose	q1opposese	q2full	q2fullse	q2reduced	q2reducsedse	q2none	q2nonese	sb24	pres_2party	self_2party	match_category	rep	treatment_highsupport	treatment_lowsupport	lowsupport	full_co	v_richardson	dem_vs	id	s.neg.difs.dw	s.pos.difs.dw	s.difs.dw	neg.difs.dw	pos.difs.dw	difs.dw	pos.exposure.observed.dw	neg.exposure.observed.dw	exposure.observed.dw	i	neg.exposure.expected.0.dw	neg.exposure.expected.1.dw	pos.exposure.expected.0.dw	pos.exposure.expected.1.dw	exposure.expected.0.dw	exposure.expected.1.dw	dwnom_scores	s.neg.difs.rank	s.pos.difs.rank	s.difs.rank	neg.difs.rank	pos.difs.rank	difs.rank	pos.exposure.observed.rank	neg.exposure.observed.rank	exposure.observed.rank	neg.exposure.expected.0.rank	neg.exposure.expected.1.rank	pos.exposure.expected.0.rank	pos.exposure.expected.1.rank	exposure.expected.0.rank	exposure.expected.1.rank	s.neg.difs.sq	s.pos.difs.sq	s.difs.sq	neg.difs.sq	pos.difs.sq	difs.sq	pos.exposure.observed.sq	neg.exposure.observed.sq	exposure.observed.sq	neg.exposure.expected.0.sq	neg.exposure.expected.1.sq	pos.exposure.expected.0.sq	pos.exposure.expected.1.sq	exposure.expected.0.sq	exposure.expected.1.sq	s.neg.difs.geo	s.pos.difs.geo	s.difs.geo	neg.difs.geo	pos.difs.geo	difs.geo	pos.exposure.observed.geo	neg.exposure.observed.geo	exposure.observed.geo	neg.exposure.expected.0.geo	neg.exposure.expected.1.geo	pos.exposure.expected.0.geo	pos.exposure.expected.1.geo	exposure.expected.0.geo	exposure.expected.1.geo
2961	4064	"D"	3896		1	0	"Y"	3677	1380	1	198											1			5	0	1	0	0	0			26	"-1.423149048842"	"1.12963524533402"	"-1.68042639041219"	"-0.726134523327501"	"0.282438065918967"	"-0.443696457408533"	"8.77416507527232"	"5.34896497684531"	"14.1231300521176"	70								"-1.5995034701633"	"1.28569961130536"	"-1.50826106505024"	"-0.676844195204297"	"0.15199009981287"	"-0.524854095391426"	"9.41791044776119"	"6.2910447761194"	"15.7089552238806"							"-1.73033186411021"	"1.42591917109266"	"-2.19121908951398"	"-0.704923131993863"	"0.295690287681083"	"-0.409232844312776"	"11.2406759200436"	"7.53377018306013"	"18.7744461031038"							"-0.268210753042584"	"-0.579580660782541"	"-0.588360252402435"	"0.00281746830348162"	"-0.520426645200242"	"-0.51760917689676"	"1"	"1"	"2"	0.986285032796661	0.997182531696518	1.48757702246074	1.52042664520024	2.4738620552574	2.51760917689676
10199	6005	"R"	9768		1	1	"N"	7240	5885	1	152											1			26	1	0	1	1	1			27	"1.25643136306421"	"-1.0205818544386"	"1.42858436464025"	"1.34824703423658"	"-1.00425604378056"	"0.343990990456025"	"8.21847682073712"	"11.6434394542594"	"19.8619162749965"	70								"1.2646361030089"	"-0.685541003552174"	"1.74976794019382"	"1.38773201978775"	"-0.88985213551828"	"0.497879884269462"	"8.26865671641791"	"11.3955223880597"	"19.6641791044776"							"1.16989043826187"	"-1.14346244519554"	"0.885097881910886"	"1.14601348431628"	"-1.06516502157877"	"0.0808484627375208"	"10.7802316367147"	"13.4047240937456"	"24.1849557304603"							"0.363669902196753"	"-0.567541330154453"	"-0.107103807514532"	"0.501821125050587"	"-0.511938486442736"	"-0.0101173613921488"	"0"	"2"	"2"	1.5003954132068	1.49817887494941	0.495848161328588	0.511938486442736	1.99624357453539	2.01011736139215
7749	5923	"R"	5916	4575	1	0	"N"	6412	4362	1	208											0			24	1	1	0	0	0			28	"1.20530885811352"	"-1.16844696095658"	"0.923134293611682"	"1.30867084500374"	"-1.09273881215166"	"0.215932032852084"	"8.15362595394254"	"13.1045859281439"	"21.2582118820865"	70								"1.19951805945021"	"-1.06890635877621"	"0.954780054147576"	"1.3407925601478"	"-1.09246881032944"	"0.248323749818361"	"9.23880597014925"	"13.3805970149254"	"22.6194029850746"							"0.970343354915467"	"-0.930043301875618"	"0.795234231964772"	"1.01866152135066"	"-0.95212903951855"	"0.0665324818321125"	"10.9776258635346"	"14.9522160104253"	"25.9298418739599"							"0.355451324447959"	"-1.9789802968796"	"-1.05692994525994"	"0.495330816610372"	"-1.50705344724816"	"-1.01172263063779"	"0"	"1"	"1"	0.507147171330783	0.504669183389628	1.4940608012885	1.50705344724816	2.00120797261929	2.01172263063779
10172	7140	"R"	6929	6199	1	1	"N"	8639	4150	1	157											0			35	1	0	1	1	1			29	"0.612283558031755"	"-0.182171041283724"	"1.44059669057155"	"0.849583765477217"	"-0.502549376621761"	"0.347034388855455"	"8.36681370809674"	"11.7522198383231"	"20.1190335464198"	70								"0.6001948107373"	"0.216481033307917"	"1.74270915456344"	"0.908778514472646"	"-0.413114466804918"	"0.495664047667727"	"8.49253731343284"	"11.5597014925373"	"20.0522388059701"							"0.326405959505204"	"-0.110117587162022"	"0.941516448104317"	"0.607697402220417"	"-0.517861021489141"	"0.0898363807312812"	"10.9521679257549"	"13.4891376616466"	"24.4413055874015"							"-0.274008716701441"	"0.86637174738464"	"0.374044359906609"	"-0.00176125244618386"	"0.499021526418787"	"0.497260273972603"	"3"	"1"	"4"	1.0079754601227	1.00176125244618	2.46891615541922	2.50097847358121	3.47689161554192	3.5027397260274
7257	6328	"R"	5552	4277	1	0	"N"	6137	3937	0	144											1			23	1	0	0	1	1			30	"1.68493974253844"	"-1.75698751647053"	"0.998599702092146"	"1.6799742985849"	"-1.44492262939466"	"0.235051669190245"	"7.34173427894711"	"11.7669343773741"	"19.1086686563212"	70								"1.59742583306523"	"-1.45779056501258"	"1.21374740256355"	"1.62761898888086"	"-1.29800231428454"	"0.329616674596316"	"6.58208955223881"	"10.7089552238806"	"17.2910447761194"							"2.0283558308987"	"-2.09055848764684"	"1.17544190720929"	"1.69389046180417"	"-1.56678792943267"	"0.127102532371502"	"9.82482848598183"	"13.9079843771818"	"23.7328128631636"							"1.6224158772381"	"0.194020947270945"	"1.34472596276339"	"1.49586776859504"	"0.0249901613537977"	"1.52085792994884"	"2"	"3"	"5"	1.50413223140496	1.49572997153314	1.9750098386462	1.99267995119967	3.47914207005116	3.48840992273282
9493	6787	"R"	7443	5225	1	1	"N"	7619	5435	1	170											0			27	1	0	1	1	1			31	"1.05091200300102"	"-1.19485825120841"	"0.388985367945904"	"1.18914541954229"	"-1.10854337979285"	"0.0806020397494471"	"9.44899751618505"	"12.0997287158389"	"21.5487262320239"	70								"0.765611866868978"	"-1.24572195513824"	"-0.339297076576693"	"1.02801715872112"	"-1.18591958177092"	"-0.157902423049805"	"11.044776119403"	"12.410447761194"	"23.455223880597"							"0.875942863984169"	"-0.822447978694131"	"0.774772271969003"	"0.958414648164604"	"-0.895141916284368"	"0.0632727318802431"	"12.4534990962198"	"14.1376274061531"	"26.591126502373"							"1.00902374290053"	"-0.545701774316295"	"0.390794842663698"	"1.0114647163471"	"-0.496540818343546"	"0.514923898003558"	"1"	"3"	"4"	1.98522566282129	1.9885352836529	1.49666059502125	1.49654081834355	3.48188625784254	3.48507610199644
4161	3337	"D"	3733	2332	1	0	"N"	4284	2929	0	156											1			6	0	0	0	1	1			32	"0.252753831418199"	"-0.302092649331038"	"0.0587910172329401"	"0.571255923189153"	"-0.57431070096268"	"-0.00305477777352792"	"11.7868419624865"	"12.1335036728997"	"23.9203456353862"	70								"0.61112750770687"	"-0.980818264394484"	"-0.24803187792127"	"0.916659200993831"	"-1.04591239480867"	"-0.12925319381484"	"11.955223880597"	"13.0373134328358"	"24.9925373134328"							"0.260598366941201"	"-0.189643619373279"	"0.413487354669974"	"0.565698662120974"	"-0.559981437729762"	"0.00571722439121558"	"14.9280843760874"	"15.3130662324874"	"30.2411506085749"							"-1.54870413578644"	"0.871448814594795"	"-0.577163765375348"	"-1.00840336134454"	"0.502601040416166"	"-0.505802320928372"	"1"	"1"	"2"	2.00840336134454	2.00859656137545	0.497398959583834	0.488004798080768	2.50580232092837	2.49660135945622
4618	5376	"D"	4673		1	1	"Y"	1174	421	0	144											1			12	0	0	0	1	1			33	"-1.06625742824818"	"1.50562437305295"	"0.29812399321027"	"-0.449848955438047"	"0.507430693871822"	"0.0575817384337736"	"9.86812822148204"	"5.45545654254965"	"15.3235847640317"	70								"-1.21077213483182"	"1.66364213286233"	"0.0207104560483989"	"-0.396632477708078"	"0.351740692671907"	"-0.044891785036171"	"10.6417910447761"	"6.54477611940298"	"17.1865671641791"							"-1.46841703954165"	"1.6053693338457"	"-0.54534922168622"	"-0.537767759541245"	"0.390734832711649"	"-0.147032926829588"	"12.3305371256757"	"7.67907215187293"	"20.0096092775486"							"-0.910783207985088"	"1.57894196242244"	"0.37358833396451"	"-0.50462962962963"	"1.00140901771337"	"0.496779388083736"	"2"	"1"	"3"	1.50462962962963	1.49542925278219	0.998590982286634	0.97933227344992	2.50322061191626	2.47476152623211
2156	3505	"D"	2511		1	1	"Y"	655	194	0	106											1			15	0	0	0	1	1			34	"-0.425242753965307"	"0.382471020767798"	"-0.395994872570028"	"0.0463888184134245"	"-0.164666464516229"	"-0.118277646102804"	"12.3131233714521"	"9.35163536923937"	"21.6647587406915"	70								"-0.342267555500411"	"0.215327357419219"	"-0.423411454925018"	"0.229417283935815"	"-0.413724208841314"	"-0.184306924905503"	"12.9402985074627"	"10.1268656716418"	"23.0671641791045"							"0.103368880077495"	"-0.29169653712805"	"-0.555682254935743"	"0.465354004347098"	"-0.614033064032229"	"-0.148679059685129"	"14.9751578083277"	"12.7842774877597"	"27.7594352960874"							"-0.910134443521627"	"0.158575708370155"	"-0.575565846543762"	"-0.504117292629042"	"0"	"-0.504117292629042"	"0"	"1"	"1"	1.50411729262904	1.49810794662418	0.0	0.0	1.50411729262904	1.49810794662418
4203	5432	"D"	3162	1529	1	0	"Y"	523	190	1	132											1			10	0	1	0	0	0			35	"-0.108051083823225"	"-0.209983373548774"	"-0.826115557443408"	"0.291940901057442"	"-0.519192330538475"	"-0.227251429481033"	"11.5692509748042"	"10.6027125369292"	"22.1719635117333"	70								"-0.0924842693025306"	"-0.201357347037658"	"-0.551389269352765"	"0.409470182341018"	"-0.633950862374945"	"-0.224480680033931"	"12.1641791044776"	"11.0074626865672"	"23.1716417910448"							"0.418803321780495"	"-0.621452497576472"	"-0.38834025593268"	"0.666665868515546"	"-0.788686041500245"	"-0.122020172984698"	"14.2965598401196"	"14.084691529961"	"28.3812513700806"							"-0.264377773740145"	"1.59352252393372"	"0.867421231166245"	"0.00584441757355902"	"1.01168883514712"	"1.01753325272068"	"2"	"1"	"3"	1.00754267566495	0.994155582426441	0.997618102421596	0.988311164852882	2.00516077808654	1.98246674727932
4732	4527	"D"	3486	2744	1	0	"N"	1747	884	1	126											1			8	0	1	0	0	0			36	"0.0505440539014029"	"-0.488845801692367"	"-1.00016420209246"	"0.41471640253279"	"-0.686064151875405"	"-0.271347749342617"	"10.7862649299204"	"12.1339158390183"	"22.9201807689387"	70								"0.470563080626775"	"-1.27411242367938"	"-1.06461810961379"	"0.815335237754802"	"-1.20092454310546"	"-0.38558930535066"	"10.8507462686567"	"13.1119402985075"	"23.9626865671642"							"0.161749089645116"	"-0.216821201979289"	"-0.0728700500870962"	"0.502612550862029"	"-0.574375857518469"	"-0.0717633066564467"	"13.9276630680426"	"15.3133744914621"	"29.2410375595047"							"-0.904792274565109"	"0.885463990416992"	"-0.0855762822988117"	"-0.499898518368175"	"0.512482240714431"	"0.0125837223462555"	"2"	"1"	"3"	1.51626256652868	1.49989851836818	1.50463236743544	1.48751775928557	3.02089493396412	2.98741627765374
7279	6115	"D"	4848	4539	1	0	"Y"	3709	1985	1	138											1			34	0	1	0	0	0			37	"-0.899871734935129"	"0.387169112667649"	"-1.83515355207379"	"-0.321042440762273"	"-0.161855117152744"	"-0.482897557915017"	"10.5590279512107"	"7.7536549444776"	"18.3126828956883"	70								"-0.722293897349594"	"0.178938203791045"	"-1.35733369028419"	"-0.0445195569225643"	"-0.432956643924093"	"-0.477476200846656"	"11.6119402985075"	"9.35074626865672"	"20.9626865671642"							"-0.602462896858129"	"0.0778181444126827"	"-2.15481618191314"	"0.0148885762946147"	"-0.41832215326818"	"-0.403433576973562"	"13.1299875235485"	"10.8512021056051"	"23.9811896291536"							"0.363009022451012"	"0.911277361974971"	"0.881121906860558"	"0.501299220467719"	"0.530681591045373"	"1.03198081151309"	"2"	"1"	"3"	0.496698018811287	0.498700779532281	1.50790474284571	1.46931840895463	2.00460276165699	1.96801918848691
6255	4444	"R"	6439		1	1	"N"	5458	3269	1	145											0			29	1	0	1	1	1			38	"0.567567385192023"	"-0.374413117994598"	"0.849907605164015"	"0.81496700090787"	"-0.617587410579562"	"0.197379590328307"	"9.16925572231412"	"12.1097958509345"	"21.2790515732486"	70								"0.485411729742974"	"-0.230669511666242"	"0.726282725066039"	"0.826038685337181"	"-0.649442959528821"	"0.176595725808355"	"10.3731343283582"	"12.4253731343284"	"22.7985074626866"							"0.192676565745202"	"0.0160232771994133"	"0.825155939823598"	"0.522350623325263"	"-0.451051379864605"	"0.0712992434606576"	"12.0037246322057"	"13.9629448118661"	"25.9666694440719"							"-1.53254441550893"	"-0.545269618624568"	"-1.51226310584487"	"-0.995641838351822"	"-0.496236133122029"	"-1.49187797147385"	"1"	"1"	"2"	1.98828756058158	1.99564183835182	1.46627625201939	1.49623613312203	3.45456381260097	3.49187797147385
4117	5425	"D"	5831		1	1	"Y"	5526	1798	0	151											1			19	0	0	0	1	1			39	"-0.442279446059513"	"1.05177000587528"	"1.13276509906539"	"0.0331999625294621"	"0.235843354634932"	"0.269043317164396"	"12.3090937249362"	"9.34115828829817"	"21.6502520132344"	70								"-0.409675302318562"	"1.04977827330809"	"0.826732237576416"	"0.180827322716564"	"0.0273006974695882"	"0.208128020186145"	"12.865671641791"	"9.93283582089552"	"22.7985074626866"							"0.0816780451157793"	"0.629617902197971"	"2.42047233528797"	"0.451510803211743"	"-0.126065205032049"	"0.325445598179698"	"14.9712895722184"	"12.773276454787"	"27.7445660270055"							"-0.277332349725903"	"0.158575708370155"	"-0.101668702139676"	"-0.0043859649122806"	"0"	"-0.0043859649122806"	"0"	"1"	"1"	1.00438596491228	1.00561797752809	0.0	0.0	1.00438596491228	1.00561797752809
2925	6398	"D"	5909		1	1	"Y"	5338	1072	0	147											1			21	0	0	0	1	1			40	"-1.07046319394457"	"1.4048115125711"	"0.047163260821916"	"-0.453104824438006"	"0.447104081374102"	"-0.00600074306390397"	"10.4659770838916"	"6.14672304945998"	"16.6127001333516"	70								"-1.26685385918092"	"1.57037676154996"	"-0.265097362285182"	"-0.437058229047649"	"0.302447977112626"	"-0.134610251935026"	"11.0597014925373"	"7.05223880597015"	"18.1119402985075"							"-1.41630040088352"	"1.48427568890114"	"-0.739158386647343"	"-0.504506655820871"	"0.326598416152988"	"-0.177908239667875"	"12.8814122931462"	"8.58982880339271"	"21.4712410965389"							"-0.917514930013978"	"-2.67331505303823"	"-2.47446157190982"	"-0.509945750452079"	"-1.99658428772353"	"-2.50653003817561"	"0"	"1"	"1"	1.50994575045208	1.49950228946845	1.99658428772353	2.00676886322915	3.50653003817561	3.50627115269759
3569	5932	"D"	5362		1	1	"Y"	5479	1461	0	140											1			14	0	0	0	0	0			41	"-0.187304813291814"	"0.277139481906584"	"0.0822552185621533"	"0.230587088330896"	"-0.227697062976562"	"0.00289002535433269"	"12.2916585463099"	"11.7360260726418"	"24.0276846189518"	70								"0.244797240111926"	"-0.463426353673073"	"-0.218124361109558"	"0.652594989740841"	"-0.77245985900689"	"-0.119864869266046"	"12.2686567164179"	"12.7835820895522"	"25.0522388059702"							"-0.0204018884775602"	"0.161278073624247"	"0.454461308998577"	"0.386362870681232"	"-0.37411817552583"	"0.0122446951554132"	"15.208150594599"	"14.9548711948782"	"30.1630217894772"							"-0.273285652463914"	"-0.546528354002019"	"-0.570062397358196"	"-0.00119024003173962"	"-0.497123586589962"	"-0.498313826621702"	"0"	"2"	"2"	2.00119024003174	2.01875378100423	0.497123586589962	0.496874369832628	2.4983138266217	2.51562815083686
